Instancia,Vehículos,Tiempo Total,Tiempo CPU
Explicación instance1.txt,6,2380.19,0.309406
instance10.txt,6,2321.34,0.300337
instance11.txt,5,2241.79,0.309646
instance12.txt,6,2433.29,0.289069
instance13.txt,6,2420.15,0.287217
instance14.txt,6,2286.06,0.294244
instance15.txt,6,2399.54,0.306967
instance16.txt,6,2356.53,0.301621
instance17.txt,6,2492.3,0.317037
instance18.txt,6,2575.07,0.309145
instance19.txt,6,2360.78,0.323955
instance1.txt,6,2404.05,0.306377
instance20.txt,6,2568.82,0.324295
instance2.txt,6,2423.43,0.307285
instance3.txt,6,2441.43,0.309409
instance4.txt,6,2434.62,0.308094
instance5.txt,5,2330.65,0.310641
instance6.txt,6,2407.13,0.297504
instance7.txt,5,2302.56,0.309579
instance8.txt,5,2270.9,0.314497
instance9.txt,6,2462.49,0.297933
