Instancia,Vehículos,Tiempo Total,Tiempo CPU
Explicación instance1.txt,6,2405.27,0.321637
instance10.txt,6,2346.27,0.31046
instance11.txt,5,2249.15,0.304973
instance12.txt,6,2451.23,0.302301
instance13.txt,6,2435.02,0.299943
instance14.txt,6,2302.2,0.296627
instance15.txt,6,2394.56,0.301222
instance16.txt,6,2365.76,0.318442
instance17.txt,6,2514.34,0.320739
instance18.txt,6,2591.66,0.307305
instance19.txt,6,2402.92,0.309131
instance1.txt,6,2402.4,0.300147
instance20.txt,6,2577.93,0.323913
instance2.txt,6,2430.97,0.303091
instance3.txt,6,2469.77,0.303822
instance4.txt,6,2434.33,0.321046
instance5.txt,6,2356.12,0.307298
instance6.txt,6,2419.54,0.30905
instance7.txt,6,2334.11,0.311305
instance8.txt,6,2298.29,0.32243
instance9.txt,6,2456.76,0.330051
